	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	PRICE
0.0	-1.332248025898831	0.2760136736930715	-1.2865964584821217	-0.27071455537293126	0.33382829660611296	0.47139444591718566	-0.11435634076977173	-0.29753736232919525	-0.9832207769779296	-0.6690133239293089	-1.4748199769002517	0.43884480977244106	0.16393130226699124
1.0	-1.332248025898831	-0.4905862408856982	-0.5942990774022958	-0.27071455537293126	0.02556072655200987	0.39483718523512534	0.370174392688406	-0.2968511396512459	-0.8691543142893136	-0.9873922509195526	-0.31135827107073255	0.43884480977244106	-0.09727262151616504
2.0	-1.332248025898831	-0.4905862408856982	-0.5942990774022958	-0.27071455537293126	0.02556072655200987	0.7746407382292427	-0.25936188873900745	-0.2968511396512459	-0.8691543142893136	-0.9873922509195526	-0.31135827107073255	0.3944839760001135	1.3284654624668975
3.0	-1.332248025898831	-0.4905862408856982	-1.3055037398981675	-0.27071455537293126	-0.023583378818934107	0.6816783502581695	-0.8004801531120089	-0.2959943588342099	-0.7550878516006976	-1.1053103720270503	0.1074879430278937	0.4141030179633052	1.1869800037510205
4.0	-1.332248025898831	-0.4905862408856982	-1.3055037398981675	-0.27071455537293126	-0.023583378818934107	0.7557499855934097	-0.5033956158091845	-0.2959943588342099	-0.7550878516006976	-1.1053103720270503	0.1074879430278937	0.43884480977244106	1.4917179148313702
5.0	-1.332248025898831	-0.4905862408856982	-1.3055037398981675	-0.27071455537293126	-0.023583378818934107	-2.794006370955287	-0.34424318511124286	-0.2959943588342099	-0.7550878516006976	-1.1053103720270503	0.1074879430278937	0.40854428940706766	0.6754556530090059
6.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.19151303186523794	-0.06484225121930133	-0.29638687726714474	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.4246755016879143	0.04421283719971105
7.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.2710530429634824	0.97849035002276	-0.2960817503210722	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.43884480977244106	0.5013197038202352
8.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.002108380437543294	1.1164224566276428	-0.29597878953619233	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.3269072759046759	-0.6523309595553727
9.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.1875360313103257	0.6177448404407595	-0.2955797773759436	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.327779233325262	-0.39112703577221636
10.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.3729636821831081	0.9148293777435835	-0.2957717726389339	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.39110514099534155	-0.8155834119198454
11.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.19002165665714585	0.5116432199754651	-0.29586565785311003	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.43884480977244106	-0.39112703577221636
12.0	-0.4422920193508216	0.041774810905114076	-0.4779465763804763	-0.27071455537293126	0.27128125340672976	0.1303666483334625	-1.0409771595000095	-0.296472625762759	-0.5269549262234655	-0.5805747330986856	-1.5213584451334332	0.3690882161255379	-0.08638912469186709
13.0	0.4476639871971878	-0.4905862408856982	-0.4386776072856121	-0.27071455537293126	0.33382829660611296	0.16019415249530417	-0.23460484396377224	-0.29705424466458036	-0.6410213889120816	-0.6041583573201852	1.1778727123910517	0.43884480977244106	-0.22787458340774358
15.0	0.4476639871971878	-0.4905862408856982	-0.4386776072856121	-0.27071455537293126	0.33382829660611296	0.10302476951844096	-0.42205104011912553	-0.29721768317492536	-0.6410213889120816	-0.6041583573201852	1.1778727123910517	0.4248934910430607	-0.2822920675292345
16.0	0.4476639871971878	-0.4905862408856982	-0.4386776072856121	-0.27071455537293126	0.33382829660611296	0.15323440152420778	-1.3840390656711279	-0.29721768317492536	-0.6410213889120816	-0.6041583573201852	1.1778727123910517	0.32930515881128847	0.06597983084830773
17.0	0.4476639871971878	-0.4905862408856982	-0.4386776072856121	-0.27071455537293126	0.33382829660611296	-2.7942251059858076	0.4692025717893473	-0.2974060012670271	-0.6410213889120816	-0.6041583573201852	1.1778727123910517	0.32821521203555537	-0.5434959913123908
18.0	0.4476639871971878	-0.4905862408856982	-0.4386776072856121	-0.27071455537293126	0.33382829660611296	-0.08488850670116159	-1.1258584558722449	-0.29776698991553446	-0.6410213889120816	-0.6041583573201852	1.1778727123910517	-0.7373167559208947	-0.24964157705633988
